epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,247.996,0.70304,0.45569,1.04288,0.90489,0.74996,0.82139,0.59112,0.86162,0.50488,1.13289,0.00331691,0.00331691,0.00331691
2,519.249,0.71454,0.46841,1.04264,0.8782,0.7625,0.82067,0.58543,0.87393,0.51839,1.14487,0.00658441,0.00658441,0.00658441
3,781.528,0.74413,0.49163,1.05622,0.86501,0.73785,0.79497,0.54591,0.94251,0.56918,1.19203,0.0097859,0.0097859,0.0097859
4,1051.29,0.79737,0.54445,1.09531,0.85981,0.73476,0.79499,0.55485,0.94902,0.59223,1.18962,0.009703,0.009703,0.009703
5,1276.5,0.81161,0.55436,1.10366,0.82927,0.72603,0.78179,0.5448,0.94217,0.58904,1.1884,0.009604,0.009604,0.009604
6,1505.81,0.80722,0.55366,1.10001,0.85636,0.73684,0.79464,0.55367,0.94987,0.58323,1.19513,0.009505,0.009505,0.009505
7,1731.35,0.81023,0.56064,1.104,0.8611,0.74647,0.80213,0.55592,0.9339,0.58712,1.17991,0.009406,0.009406,0.009406
8,1957.87,0.8064,0.55261,1.10093,0.84428,0.73789,0.79875,0.55399,0.92219,0.57154,1.16788,0.009307,0.009307,0.009307
9,2183.68,0.81139,0.55691,1.10284,0.86965,0.73317,0.79721,0.55134,0.92717,0.58098,1.17657,0.009208,0.009208,0.009208
10,2415.62,0.80552,0.55885,1.10161,0.85805,0.72984,0.7824,0.54355,0.92905,0.58209,1.17235,0.009109,0.009109,0.009109
11,2650.97,0.80266,0.553,1.0969,0.86691,0.74078,0.80474,0.55772,0.92619,0.56944,1.1687,0.00901,0.00901,0.00901
12,2883.61,0.8013,0.55344,1.09983,0.84662,0.73366,0.78929,0.55562,0.93788,0.5928,1.18527,0.008911,0.008911,0.008911
13,3128.23,0.79888,0.5519,1.09233,0.87795,0.73096,0.80071,0.55796,0.90757,0.56636,1.16151,0.008812,0.008812,0.008812
14,3363.35,0.79288,0.54477,1.09237,0.87282,0.73539,0.80125,0.56007,0.92271,0.57786,1.16648,0.008713,0.008713,0.008713
15,3603.83,0.80989,0.55718,1.09705,0.86789,0.72671,0.79989,0.56063,0.91685,0.57072,1.17279,0.008614,0.008614,0.008614
16,3841.69,0.7919,0.53853,1.09306,0.86689,0.74437,0.79927,0.56229,0.92391,0.57146,1.16946,0.008515,0.008515,0.008515
17,4082.16,0.79724,0.54814,1.09181,0.86379,0.73454,0.80286,0.56371,0.91025,0.56802,1.15846,0.008416,0.008416,0.008416
18,4322.75,0.787,0.53639,1.08652,0.86443,0.73345,0.80084,0.55572,0.92643,0.57207,1.17199,0.008317,0.008317,0.008317
19,4564.61,0.78777,0.53944,1.09169,0.88049,0.72695,0.79717,0.561,0.9137,0.55643,1.15644,0.008218,0.008218,0.008218
20,4796.96,0.79188,0.54055,1.09103,0.84791,0.74916,0.80362,0.5658,0.92,0.57138,1.17024,0.008119,0.008119,0.008119
21,5040.55,0.7869,0.53843,1.0895,0.87496,0.73768,0.80308,0.5618,0.90589,0.56051,1.15965,0.00802,0.00802,0.00802
22,5278.13,0.78243,0.53312,1.08484,0.87108,0.73657,0.79828,0.55735,0.91996,0.57204,1.17237,0.007921,0.007921,0.007921
23,5516.25,0.78064,0.53612,1.0898,0.88182,0.73322,0.79946,0.56366,0.90084,0.5554,1.1532,0.007822,0.007822,0.007822
24,5753.45,0.77988,0.53249,1.08704,0.86734,0.73739,0.80264,0.5601,0.91528,0.56069,1.15995,0.007723,0.007723,0.007723
25,5992.56,0.77251,0.52583,1.08381,0.8787,0.71974,0.79468,0.55485,0.90313,0.55913,1.15755,0.007624,0.007624,0.007624
26,6230.81,0.77847,0.53148,1.08456,0.85749,0.7418,0.79949,0.56172,0.90138,0.55342,1.15542,0.007525,0.007525,0.007525
27,6470.96,0.77068,0.52216,1.07693,0.89376,0.73444,0.80126,0.57018,0.90574,0.54821,1.15447,0.007426,0.007426,0.007426
28,6707.86,0.77638,0.52307,1.07908,0.87111,0.74753,0.81118,0.5744,0.89186,0.54196,1.14724,0.007327,0.007327,0.007327
29,6951.03,0.76817,0.52507,1.07798,0.86407,0.74948,0.81361,0.57166,0.90458,0.5492,1.15564,0.007228,0.007228,0.007228
30,7186.46,0.76543,0.52125,1.07402,0.89114,0.73107,0.80817,0.56803,0.90992,0.55291,1.16158,0.007129,0.007129,0.007129
31,7425.36,0.76331,0.521,1.07648,0.87089,0.73857,0.80674,0.5712,0.90364,0.54975,1.15803,0.00703,0.00703,0.00703
32,7664.04,0.76747,0.51734,1.07299,0.86679,0.73667,0.80887,0.57143,0.90145,0.54402,1.15329,0.006931,0.006931,0.006931
33,7901.59,0.75802,0.51165,1.07559,0.87468,0.74842,0.81155,0.57351,0.9036,0.54947,1.15726,0.006832,0.006832,0.006832
34,8141.54,0.76533,0.51641,1.07491,0.84603,0.75092,0.81153,0.57038,0.90919,0.55254,1.16416,0.006733,0.006733,0.006733
35,8378.63,0.75519,0.50843,1.072,0.85462,0.75367,0.80893,0.57432,0.89055,0.53954,1.15017,0.006634,0.006634,0.006634
36,8617.2,0.75877,0.50922,1.07217,0.88563,0.73428,0.81121,0.57334,0.89993,0.55011,1.15425,0.006535,0.006535,0.006535
37,8861.19,0.75139,0.50302,1.07092,0.85198,0.76045,0.81131,0.57299,0.90063,0.5387,1.15984,0.006436,0.006436,0.006436
38,9094.69,0.75456,0.50436,1.07054,0.87992,0.73998,0.81154,0.57328,0.90128,0.53585,1.15948,0.006337,0.006337,0.006337
39,9334.76,0.75319,0.50142,1.06798,0.87157,0.7476,0.80912,0.5725,0.91062,0.54453,1.16503,0.006238,0.006238,0.006238
40,9571.07,0.75387,0.50212,1.06629,0.86878,0.76417,0.81943,0.58356,0.88904,0.53523,1.14692,0.006139,0.006139,0.006139
41,9810.25,0.75004,0.50338,1.07203,0.87207,0.74705,0.81532,0.57835,0.90022,0.53778,1.15484,0.00604,0.00604,0.00604
42,10048.2,0.74584,0.49946,1.06707,0.88493,0.74844,0.81624,0.57964,0.89556,0.5354,1.14793,0.005941,0.005941,0.005941
43,10286.7,0.74872,0.49594,1.06224,0.87787,0.74222,0.81782,0.58187,0.88186,0.52789,1.14363,0.005842,0.005842,0.005842
44,10524.9,0.73964,0.49077,1.05994,0.87832,0.74838,0.81484,0.58018,0.88567,0.52858,1.14485,0.005743,0.005743,0.005743
45,10763.3,0.73254,0.4875,1.05929,0.85349,0.76885,0.81905,0.58316,0.88048,0.53024,1.13883,0.005644,0.005644,0.005644
46,11006.1,0.74423,0.49862,1.06177,0.86351,0.7581,0.81796,0.58286,0.88715,0.53171,1.14751,0.005545,0.005545,0.005545
47,11250.2,0.73666,0.49023,1.05845,0.89104,0.74496,0.81537,0.58058,0.88431,0.53191,1.14176,0.005446,0.005446,0.005446
48,11486.4,0.74152,0.4917,1.05864,0.85669,0.76271,0.82281,0.58255,0.88512,0.5227,1.14588,0.005347,0.005347,0.005347
49,11723.5,0.73262,0.48559,1.05389,0.8684,0.76223,0.82341,0.58764,0.88385,0.52233,1.14164,0.005248,0.005248,0.005248
50,11964.7,0.72786,0.4868,1.05643,0.84976,0.76789,0.81487,0.58152,0.87931,0.52534,1.13914,0.005149,0.005149,0.005149
51,12204.2,0.73113,0.48307,1.05414,0.87119,0.76211,0.82059,0.58311,0.88072,0.52229,1.1444,0.00505,0.00505,0.00505
52,12441.5,0.72201,0.47485,1.05509,0.87009,0.75982,0.82086,0.58568,0.87638,0.52694,1.14045,0.004951,0.004951,0.004951
53,12679.8,0.72901,0.48136,1.05429,0.87955,0.7586,0.82601,0.58986,0.87999,0.52028,1.13867,0.004852,0.004852,0.004852
54,12918.5,0.72201,0.47651,1.05249,0.88236,0.75227,0.82361,0.58648,0.87195,0.51302,1.13988,0.004753,0.004753,0.004753
55,13155.2,0.72071,0.47778,1.05102,0.85917,0.76411,0.82231,0.58772,0.87341,0.51618,1.13783,0.004654,0.004654,0.004654
56,13394.3,0.71848,0.4735,1.04888,0.87032,0.75907,0.82375,0.58906,0.87076,0.52056,1.13191,0.004555,0.004555,0.004555
57,13630.8,0.71196,0.47482,1.04609,0.87721,0.75777,0.82916,0.5905,0.86919,0.51433,1.1402,0.004456,0.004456,0.004456
58,13871.7,0.7143,0.46915,1.04504,0.8711,0.76399,0.82944,0.59104,0.87272,0.5152,1.13784,0.004357,0.004357,0.004357
59,14111,0.70889,0.46725,1.04318,0.87446,0.76377,0.82384,0.58945,0.87238,0.51822,1.13361,0.004258,0.004258,0.004258
60,14353.3,0.7087,0.46308,1.04159,0.87285,0.76032,0.82763,0.59151,0.87743,0.51585,1.14102,0.004159,0.004159,0.004159
61,14589.6,0.70483,0.46468,1.04168,0.86345,0.76452,0.82468,0.58949,0.87376,0.51874,1.13694,0.00406,0.00406,0.00406
62,14827.7,0.70592,0.46359,1.04314,0.87389,0.75401,0.82034,0.59153,0.87476,0.52093,1.14208,0.003961,0.003961,0.003961
63,15066.6,0.70151,0.46196,1.0406,0.88263,0.75899,0.82237,0.59022,0.87609,0.52024,1.14016,0.003862,0.003862,0.003862
64,15303.5,0.70545,0.46076,1.04182,0.88068,0.75175,0.82433,0.59347,0.87473,0.51879,1.14023,0.003763,0.003763,0.003763
65,15546,0.69475,0.45746,1.03851,0.87358,0.76448,0.82615,0.59458,0.87355,0.51424,1.13883,0.003664,0.003664,0.003664
66,15780.9,0.69376,0.45238,1.03571,0.8772,0.76503,0.82961,0.5955,0.87227,0.51662,1.14331,0.003565,0.003565,0.003565
67,16023.7,0.69169,0.45154,1.03551,0.85252,0.77173,0.82628,0.59075,0.87479,0.51449,1.14502,0.003466,0.003466,0.003466
68,16260.4,0.69348,0.45489,1.03304,0.87134,0.76541,0.82513,0.58951,0.87092,0.51372,1.13788,0.003367,0.003367,0.003367
69,16496.9,0.69364,0.45155,1.03567,0.88255,0.7485,0.82422,0.59175,0.86816,0.51085,1.14008,0.003268,0.003268,0.003268
70,16733.4,0.69464,0.45781,1.03629,0.85387,0.77594,0.82732,0.59377,0.86837,0.51307,1.14014,0.003169,0.003169,0.003169
71,16973.3,0.69404,0.45599,1.03245,0.89125,0.75797,0.83122,0.59644,0.86877,0.51047,1.13812,0.00307,0.00307,0.00307
72,17216.5,0.68452,0.44822,1.03042,0.88498,0.75947,0.82861,0.59292,0.86898,0.50953,1.13833,0.002971,0.002971,0.002971
73,17451,0.68239,0.44655,1.03115,0.87243,0.76965,0.82857,0.59497,0.87013,0.50858,1.1395,0.002872,0.002872,0.002872
74,17690.2,0.68054,0.44166,1.0255,0.87133,0.76599,0.82768,0.59544,0.86594,0.50468,1.13645,0.002773,0.002773,0.002773
75,17928.5,0.68286,0.44346,1.02836,0.87263,0.76847,0.83157,0.59538,0.86968,0.50805,1.14046,0.002674,0.002674,0.002674
76,18167.8,0.67837,0.44118,1.03069,0.8583,0.77672,0.83346,0.59585,0.86845,0.50659,1.13744,0.002575,0.002575,0.002575
77,18407.5,0.67372,0.43671,1.02284,0.85138,0.78506,0.83162,0.59608,0.86726,0.50512,1.13733,0.002476,0.002476,0.002476
78,18643,0.67387,0.43361,1.02302,0.858,0.78425,0.83297,0.59801,0.86534,0.50649,1.13649,0.002377,0.002377,0.002377
79,18882.1,0.67076,0.43421,1.02152,0.861,0.77577,0.8298,0.59658,0.86211,0.50579,1.13367,0.002278,0.002278,0.002278
80,19122,0.6642,0.42979,1.01735,0.85807,0.7808,0.83127,0.59827,0.86537,0.50689,1.13671,0.002179,0.002179,0.002179
81,19358.7,0.65879,0.42677,1.01919,0.86052,0.77448,0.83026,0.5974,0.86426,0.50804,1.13865,0.00208,0.00208,0.00208
82,19597.2,0.66544,0.43172,1.01887,0.88836,0.75384,0.82945,0.59693,0.8672,0.5081,1.13902,0.001981,0.001981,0.001981
83,19836.8,0.6641,0.42952,1.02032,0.88578,0.75747,0.83137,0.59789,0.86641,0.50632,1.13899,0.001882,0.001882,0.001882
84,20075.7,0.66139,0.42681,1.01844,0.86466,0.77138,0.83175,0.59859,0.8676,0.50361,1.14083,0.001783,0.001783,0.001783
85,20313.4,0.65756,0.41858,1.01491,0.87407,0.76809,0.82973,0.59684,0.86531,0.50307,1.13937,0.001684,0.001684,0.001684
86,20552,0.65192,0.41881,1.01198,0.8557,0.77664,0.8295,0.59859,0.86727,0.50255,1.14132,0.001585,0.001585,0.001585
87,20792.8,0.66204,0.424,1.01565,0.85095,0.7857,0.82927,0.59786,0.86648,0.50528,1.1382,0.001486,0.001486,0.001486
88,21028.9,0.65077,0.41577,1.01074,0.86843,0.76665,0.82917,0.59705,0.86629,0.50419,1.1405,0.001387,0.001387,0.001387
89,21268.5,0.65236,0.41764,1.01394,0.87062,0.77203,0.83141,0.59834,0.86588,0.50372,1.14218,0.001288,0.001288,0.001288
90,21508.4,0.64395,0.41625,1.01055,0.86088,0.77983,0.83077,0.59948,0.86773,0.50448,1.14347,0.001189,0.001189,0.001189
91,21793.6,0.5934,0.33848,0.96113,0.87349,0.76792,0.82988,0.59702,0.86949,0.50239,1.14641,0.00109,0.00109,0.00109
92,22025.4,0.57992,0.32481,0.9512,0.87145,0.76916,0.82848,0.59694,0.87165,0.50373,1.14756,0.000991,0.000991,0.000991
93,22257.2,0.57663,0.32431,0.94813,0.8727,0.7693,0.82723,0.59583,0.86882,0.50499,1.14538,0.000892,0.000892,0.000892
94,22489.2,0.57162,0.31934,0.94684,0.8689,0.77537,0.82719,0.59647,0.86817,0.50577,1.14585,0.000793,0.000793,0.000793
95,22722.6,0.56625,0.31608,0.94236,0.87914,0.76755,0.82682,0.59708,0.86817,0.50778,1.14727,0.000694,0.000694,0.000694
96,22955.2,0.56449,0.31325,0.94572,0.87305,0.76424,0.82719,0.59754,0.86933,0.50831,1.14833,0.000595,0.000595,0.000595
97,23187.4,0.56071,0.31168,0.94211,0.87108,0.76773,0.82845,0.59804,0.86895,0.50854,1.14801,0.000496,0.000496,0.000496
98,23419.6,0.55974,0.31274,0.93903,0.87288,0.7688,0.8286,0.59761,0.86877,0.5086,1.14729,0.000397,0.000397,0.000397
99,23651.8,0.55647,0.30748,0.9356,0.88379,0.75856,0.82897,0.59755,0.86865,0.50861,1.14771,0.000298,0.000298,0.000298
100,23883.8,0.55362,0.30683,0.93633,0.8812,0.76796,0.82801,0.59727,0.86799,0.50744,1.14785,0.000199,0.000199,0.000199
