epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,275.288,1.36064,2.46388,1.53756,0.68239,0.29324,0.30752,0.1845,1.27353,1.36987,1.46795,0.000158569,0.000158569,0.000158569
2,547.431,1.27242,1.72545,1.45158,0.70803,0.33452,0.36465,0.21952,1.25971,1.25496,1.43304,0.000310954,0.000310954,0.000310954
3,826.179,1.25465,1.50997,1.42629,0.69045,0.35028,0.39012,0.23766,1.22841,1.20427,1.4189,0.000457056,0.000457056,0.000457056
4,1113.09,1.24233,1.40407,1.4222,0.66761,0.37369,0.40396,0.2453,1.21545,1.14333,1.40064,0.000447726,0.000447726,0.000447726
5,1407.46,1.22482,1.32346,1.40579,0.59559,0.40842,0.42409,0.25847,1.20622,1.10792,1.3913,0.000438301,0.000438301,0.000438301
6,1700.27,1.20055,1.24917,1.38704,0.72264,0.39056,0.44268,0.2695,1.1871,1.06489,1.37562,0.000428876,0.000428876,0.000428876
7,1993.68,1.18505,1.20264,1.37335,0.72878,0.39056,0.44925,0.27619,1.16724,1.03744,1.36045,0.000419451,0.000419451,0.000419451
8,2287.28,1.17697,1.17402,1.37355,0.62214,0.40832,0.45719,0.28063,1.16574,1.02126,1.3639,0.000410026,0.000410026,0.000410026
9,2581.38,1.16689,1.14678,1.36212,0.61995,0.43236,0.46616,0.28627,1.16137,0.99737,1.34728,0.000400602,0.000400602,0.000400602
10,2876.33,1.159,1.11413,1.35053,0.6205,0.41828,0.47656,0.29346,1.15064,0.96636,1.34338,0.000391177,0.000391177,0.000391177
11,3169.59,1.13856,1.08635,1.33717,0.55749,0.4636,0.47982,0.30159,1.13605,0.96949,1.33147,0.000381752,0.000381752,0.000381752
12,3464.44,1.14471,1.08404,1.34112,0.60605,0.47349,0.49705,0.30934,1.12402,0.94469,1.32959,0.000372327,0.000372327,0.000372327
13,3759,1.13283,1.04456,1.32769,0.61526,0.47,0.50264,0.30982,1.13084,0.92236,1.32681,0.000362902,0.000362902,0.000362902
14,4052.49,1.11949,1.03771,1.31884,0.54477,0.48395,0.50188,0.31512,1.12008,0.91302,1.31952,0.000353478,0.000353478,0.000353478
15,4346.97,1.11085,1.01917,1.3129,0.53914,0.50002,0.51657,0.31973,1.11611,0.90424,1.31738,0.000344053,0.000344053,0.000344053
16,4640.6,1.10998,1.00567,1.30981,0.59333,0.48647,0.51223,0.31747,1.11264,0.89333,1.3079,0.000334628,0.000334628,0.000334628
17,4934.49,1.11069,0.99575,1.30871,0.5631,0.47679,0.51589,0.32028,1.11354,0.89021,1.3075,0.000325203,0.000325203,0.000325203
