epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,231.698,0.70304,0.45569,1.04288,0.90489,0.74996,0.82139,0.59112,0.86162,0.50488,1.13289,0.00331691,0.00331691,0.00331691
2,456.505,0.71454,0.46841,1.04264,0.8782,0.7625,0.82067,0.58543,0.87393,0.51839,1.14487,0.00658441,0.00658441,0.00658441
3,681.337,0.74413,0.49163,1.05622,0.86501,0.73785,0.79497,0.54591,0.94251,0.56918,1.19203,0.0097859,0.0097859,0.0097859
4,912.387,0.79737,0.54445,1.09531,0.85981,0.73476,0.79499,0.55485,0.94902,0.59223,1.18962,0.009703,0.009703,0.009703
5,1149.9,0.81161,0.55436,1.10366,0.82927,0.72603,0.78179,0.5448,0.94217,0.58904,1.1884,0.009604,0.009604,0.009604
6,1386.71,0.80722,0.55366,1.10001,0.85636,0.73684,0.79464,0.55367,0.94987,0.58323,1.19513,0.009505,0.009505,0.009505
7,1623.47,0.81023,0.56064,1.104,0.8611,0.74647,0.80213,0.55592,0.9339,0.58712,1.17991,0.009406,0.009406,0.009406
8,1865.71,0.8064,0.55261,1.10093,0.84428,0.73789,0.79875,0.55399,0.92219,0.57154,1.16788,0.009307,0.009307,0.009307
9,2104.82,0.81139,0.55691,1.10284,0.86965,0.73317,0.79721,0.55134,0.92717,0.58098,1.17657,0.009208,0.009208,0.009208
10,2343.1,0.80552,0.55885,1.10161,0.85805,0.72984,0.7824,0.54355,0.92905,0.58209,1.17235,0.009109,0.009109,0.009109
11,2579.07,0.80266,0.553,1.0969,0.86691,0.74078,0.80474,0.55772,0.92619,0.56944,1.1687,0.00901,0.00901,0.00901
12,2815.81,0.8013,0.55344,1.09983,0.84662,0.73366,0.78929,0.55562,0.93788,0.5928,1.18527,0.008911,0.008911,0.008911
13,3052.67,0.79888,0.5519,1.09233,0.87795,0.73096,0.80071,0.55796,0.90757,0.56636,1.16151,0.008812,0.008812,0.008812
14,3288.92,0.79288,0.54477,1.09237,0.87282,0.73539,0.80125,0.56007,0.92271,0.57786,1.16648,0.008713,0.008713,0.008713
