epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,268.692,0.71385,0.48279,1.11631,0.89663,0.77218,0.84641,0.6016,0.91602,0.5371,1.27073,0.0033251,0.0033251,0.0033251
2,546.737,0.71289,0.47476,1.10985,0.89678,0.75518,0.83591,0.58934,0.93688,0.55816,1.2954,0.00663646,0.00663646,0.00663646
3,837.176,0.73643,0.49923,1.12789,0.82478,0.77644,0.81517,0.56584,0.96727,0.59405,1.32095,0.00992582,0.00992582,0.00992582
4,1129.12,0.78913,0.55208,1.1655,0.83625,0.75711,0.81006,0.55652,0.97527,0.60307,1.32502,0.009901,0.009901,0.009901
5,1421.2,0.80411,0.56414,1.17423,0.85252,0.75126,0.81185,0.56022,0.96535,0.59738,1.31439,0.009868,0.009868,0.009868
6,1713.43,0.79971,0.56158,1.17416,0.87509,0.73649,0.80906,0.56103,0.96219,0.59888,1.30676,0.009835,0.009835,0.009835
7,2007.8,0.80407,0.56754,1.17586,0.84355,0.74784,0.80032,0.54954,0.97537,0.60009,1.31029,0.009802,0.009802,0.009802
8,2301,0.81127,0.57207,1.18103,0.8487,0.75753,0.82072,0.56766,0.97663,0.60685,1.31187,0.009769,0.009769,0.009769
9,2593.95,0.81032,0.57395,1.18122,0.86216,0.74065,0.81648,0.56988,0.9628,0.60121,1.30673,0.009736,0.009736,0.009736
10,2888.08,0.81238,0.57455,1.18353,0.83742,0.76067,0.81248,0.56066,0.9607,0.59631,1.30399,0.009703,0.009703,0.009703
11,3181.08,0.80993,0.57285,1.1812,0.86873,0.77133,0.82742,0.57521,0.95963,0.5941,1.30428,0.00967,0.00967,0.00967
12,3474.18,0.8057,0.56482,1.17842,0.8532,0.74806,0.80902,0.55412,0.98435,0.60711,1.32452,0.009637,0.009637,0.009637
13,3766.62,0.8068,0.56581,1.17795,0.85333,0.75241,0.81634,0.56652,0.95542,0.60057,1.30342,0.009604,0.009604,0.009604
14,4061.54,0.81249,0.57565,1.18519,0.86298,0.75577,0.82281,0.56703,0.96982,0.6004,1.30775,0.009571,0.009571,0.009571
15,4356.36,0.81607,0.57415,1.18316,0.86211,0.74415,0.81809,0.56214,0.96706,0.6068,1.30276,0.009538,0.009538,0.009538
16,4649.15,0.82154,0.57753,1.18627,0.86462,0.76292,0.82414,0.56929,0.9628,0.5979,1.30249,0.009505,0.009505,0.009505
17,4942.88,0.82076,0.58214,1.19172,0.86392,0.74516,0.81698,0.57019,0.95639,0.5916,1.29361,0.009472,0.009472,0.009472
18,5235.76,0.81963,0.58088,1.18939,0.84618,0.75474,0.81058,0.56037,0.96346,0.594,1.30967,0.009439,0.009439,0.009439
19,5527.24,0.8222,0.58436,1.19352,0.83858,0.76206,0.82353,0.57556,0.94875,0.59082,1.28991,0.009406,0.009406,0.009406
20,5818.43,0.82096,0.57827,1.1901,0.84334,0.76094,0.82094,0.57501,0.95678,0.58327,1.29933,0.009373,0.009373,0.009373
21,6112.1,0.81738,0.57912,1.18813,0.86981,0.75343,0.82292,0.56792,0.9555,0.58681,1.29904,0.00934,0.00934,0.00934
22,6404.73,0.81882,0.57609,1.18997,0.8709,0.74841,0.81779,0.56894,0.95842,0.5918,1.29822,0.009307,0.009307,0.009307
23,6697.61,0.82144,0.58548,1.19197,0.86536,0.75696,0.82399,0.56949,0.95995,0.58826,1.30347,0.009274,0.009274,0.009274
24,6991.1,0.80949,0.57259,1.18265,0.85682,0.76303,0.82557,0.57523,0.9527,0.58044,1.2957,0.009241,0.009241,0.009241
25,7283.06,0.81902,0.57482,1.18939,0.86724,0.74579,0.8231,0.57663,0.94896,0.58611,1.29181,0.009208,0.009208,0.009208
26,7576.52,0.8215,0.57552,1.18848,0.85858,0.76088,0.82027,0.57066,0.94294,0.57577,1.2832,0.009175,0.009175,0.009175
27,7870.3,0.82018,0.57647,1.18391,0.85816,0.76603,0.82032,0.57536,0.95097,0.58771,1.28787,0.009142,0.009142,0.009142
28,8163.06,0.81505,0.57476,1.18649,0.8689,0.75431,0.82391,0.57482,0.94918,0.58207,1.28961,0.009109,0.009109,0.009109
29,8455.32,0.80899,0.57461,1.18342,0.8411,0.77173,0.8235,0.58016,0.9399,0.58156,1.28263,0.009076,0.009076,0.009076
30,8748,0.81494,0.56978,1.18062,0.88195,0.76283,0.83067,0.57731,0.94981,0.57588,1.29188,0.009043,0.009043,0.009043
31,9041.03,0.80817,0.56918,1.18269,0.85283,0.76932,0.82481,0.5762,0.94524,0.57377,1.29558,0.00901,0.00901,0.00901
32,9334.36,0.80898,0.56629,1.1774,0.86787,0.7559,0.82845,0.58085,0.94354,0.57753,1.29088,0.008977,0.008977,0.008977
33,9627.43,0.80427,0.55907,1.17875,0.85836,0.77278,0.82894,0.58583,0.94427,0.57199,1.2867,0.008944,0.008944,0.008944
34,10062.7,0.80964,0.56888,1.17633,0.86247,0.7629,0.83168,0.579,0.94515,0.56757,1.28804,0.008911,0.008911,0.008911
35,10354.1,0.80084,0.5578,1.17316,0.86288,0.75974,0.82818,0.58065,0.94093,0.57505,1.28652,0.008878,0.008878,0.008878
36,10647.9,0.80093,0.56239,1.18334,0.85908,0.76512,0.8267,0.5788,0.93682,0.56736,1.28377,0.008845,0.008845,0.008845
37,10938.8,0.80809,0.56418,1.18031,0.87333,0.77099,0.83014,0.58393,0.94199,0.56602,1.28777,0.008812,0.008812,0.008812
38,11239.5,0.80918,0.56282,1.17872,0.86192,0.76184,0.82728,0.5841,0.93234,0.56845,1.28073,0.008779,0.008779,0.008779
39,11531.6,0.80772,0.56355,1.17847,0.87587,0.76211,0.8358,0.58533,0.93748,0.56181,1.28232,0.008746,0.008746,0.008746
40,11824.5,0.80565,0.56013,1.17592,0.86748,0.77049,0.83606,0.58913,0.93306,0.55825,1.27951,0.008713,0.008713,0.008713
41,12118.7,0.8096,0.56433,1.17712,0.84493,0.79013,0.83638,0.58726,0.93388,0.56126,1.27431,0.00868,0.00868,0.00868
42,12412.7,0.80261,0.56268,1.17643,0.87329,0.77237,0.83521,0.5892,0.93415,0.56042,1.27941,0.008647,0.008647,0.008647
43,12704.9,0.80153,0.55843,1.17136,0.88376,0.76744,0.83862,0.59064,0.93576,0.56586,1.2827,0.008614,0.008614,0.008614
44,12997,0.80048,0.5594,1.17409,0.86418,0.7734,0.83237,0.5886,0.92977,0.56302,1.27411,0.008581,0.008581,0.008581
45,13289.9,0.79176,0.54745,1.16983,0.87883,0.76836,0.83434,0.58994,0.93185,0.55261,1.27707,0.008548,0.008548,0.008548
46,14009.8,0.79461,0.55322,1.1692,0.84459,0.78397,0.83477,0.59162,0.92186,0.55969,1.26713,0.008515,0.008515,0.008515
47,14289.6,0.79763,0.55397,1.1716,0.88185,0.76121,0.83355,0.58253,0.92326,0.55129,1.27273,0.008482,0.008482,0.008482
48,14580.3,0.8059,0.56039,1.17702,0.86055,0.76886,0.83402,0.59186,0.92396,0.55583,1.26463,0.008449,0.008449,0.008449
49,14873.3,0.79726,0.55609,1.16966,0.87145,0.77706,0.82852,0.58785,0.9181,0.55231,1.26774,0.008416,0.008416,0.008416
50,15163.6,0.7976,0.56386,1.17362,0.86986,0.77148,0.8382,0.5918,0.92131,0.55221,1.26401,0.008383,0.008383,0.008383
51,15456.9,0.79851,0.55478,1.17366,0.87057,0.76625,0.83237,0.59157,0.92233,0.54875,1.27488,0.00835,0.00835,0.00835
52,15749.6,0.79392,0.55522,1.16973,0.87953,0.77301,0.83984,0.59286,0.92035,0.55493,1.26788,0.008317,0.008317,0.008317
53,16042.4,0.79869,0.55384,1.17118,0.855,0.78316,0.83848,0.59236,0.92151,0.55354,1.26771,0.008284,0.008284,0.008284
54,16334.9,0.7894,0.54295,1.16883,0.85891,0.77526,0.83386,0.59405,0.92295,0.55275,1.27182,0.008251,0.008251,0.008251
55,16628,0.7986,0.55359,1.17337,0.85927,0.78417,0.83804,0.59426,0.92319,0.55085,1.26749,0.008218,0.008218,0.008218
56,16919.5,0.78998,0.54666,1.1695,0.84379,0.79167,0.83737,0.59261,0.91907,0.54513,1.26132,0.008185,0.008185,0.008185
57,17211.3,0.78137,0.54306,1.163,0.87663,0.76578,0.83958,0.59588,0.91651,0.5449,1.2663,0.008152,0.008152,0.008152
58,17505.2,0.78979,0.54753,1.16696,0.85453,0.77719,0.84018,0.59282,0.92069,0.54854,1.27202,0.008119,0.008119,0.008119
59,17797.8,0.79085,0.5442,1.1655,0.84983,0.78872,0.83302,0.59488,0.90975,0.54234,1.2582,0.008086,0.008086,0.008086
60,18092.2,0.78102,0.54016,1.16089,0.85917,0.78556,0.84281,0.60175,0.90995,0.53742,1.26242,0.008053,0.008053,0.008053
61,18383.3,0.78651,0.54393,1.16632,0.85346,0.78926,0.84474,0.60019,0.91537,0.53908,1.26738,0.00802,0.00802,0.00802
62,18676,0.782,0.5456,1.15876,0.86298,0.78462,0.84166,0.60014,0.91093,0.53598,1.26224,0.007987,0.007987,0.007987
63,18969,0.7756,0.53857,1.16125,0.87296,0.78196,0.84545,0.60505,0.91016,0.53307,1.26243,0.007954,0.007954,0.007954
64,19260.5,0.77792,0.53849,1.15626,0.8667,0.78437,0.84522,0.60088,0.91394,0.53386,1.26447,0.007921,0.007921,0.007921
65,19555.2,0.78195,0.54011,1.15701,0.8568,0.78512,0.84283,0.5999,0.90871,0.53463,1.25578,0.007888,0.007888,0.007888
66,19848.3,0.79258,0.55082,1.16856,0.8803,0.77239,0.83961,0.59663,0.90955,0.53868,1.2619,0.007855,0.007855,0.007855
67,20152.4,0.78183,0.54341,1.15879,0.87135,0.78213,0.84204,0.6004,0.90878,0.53174,1.25942,0.007822,0.007822,0.007822
68,20438.9,0.78381,0.54265,1.16075,0.86325,0.79157,0.84197,0.60159,0.90642,0.53052,1.25604,0.007789,0.007789,0.007789
69,20730.1,0.78605,0.54161,1.16461,0.86966,0.7901,0.84172,0.60083,0.91084,0.53668,1.2561,0.007756,0.007756,0.007756
70,21023.4,0.77715,0.53551,1.15972,0.87664,0.779,0.84334,0.60426,0.90689,0.53125,1.25594,0.007723,0.007723,0.007723
71,21314.6,0.77979,0.54228,1.15694,0.87934,0.78469,0.84579,0.60501,0.90906,0.53409,1.26,0.00769,0.00769,0.00769
72,21606.2,0.77651,0.53894,1.16022,0.87624,0.77461,0.83959,0.60189,0.90752,0.53349,1.25967,0.007657,0.007657,0.007657
73,21898.1,0.77397,0.54311,1.15865,0.85761,0.78552,0.84132,0.60192,0.90398,0.53437,1.25723,0.007624,0.007624,0.007624
74,22190.8,0.78169,0.53682,1.15557,0.87749,0.77273,0.84094,0.60144,0.90275,0.53092,1.25368,0.007591,0.007591,0.007591
75,22483.7,0.77954,0.53661,1.15745,0.87611,0.78599,0.84491,0.60515,0.90375,0.52995,1.25888,0.007558,0.007558,0.007558
76,22774.3,0.77743,0.54017,1.16241,0.8582,0.7953,0.84014,0.60318,0.89839,0.52705,1.25498,0.007525,0.007525,0.007525
77,23067.9,0.77465,0.53691,1.15292,0.8816,0.77479,0.84235,0.60223,0.89745,0.52637,1.25285,0.007492,0.007492,0.007492
78,23358.6,0.77596,0.53485,1.15253,0.8668,0.78906,0.84569,0.60669,0.90031,0.52686,1.25408,0.007459,0.007459,0.007459
79,23649.9,0.77282,0.53096,1.15049,0.8811,0.77683,0.84203,0.60049,0.90324,0.52621,1.2552,0.007426,0.007426,0.007426
80,23942.2,0.7736,0.53548,1.15422,0.87222,0.78343,0.84259,0.60527,0.89874,0.52452,1.25084,0.007393,0.007393,0.007393
81,24233.5,0.77107,0.53194,1.15288,0.85877,0.79177,0.84301,0.60375,0.90321,0.52253,1.25516,0.00736,0.00736,0.00736
82,24528.6,0.76977,0.53042,1.14877,0.87499,0.79001,0.84535,0.60723,0.90224,0.52335,1.25328,0.007327,0.007327,0.007327
83,24821.1,0.76585,0.52837,1.14759,0.86843,0.79415,0.84545,0.60607,0.90465,0.52517,1.25434,0.007294,0.007294,0.007294
84,25111.7,0.7664,0.53008,1.15175,0.88794,0.78079,0.84556,0.60203,0.90315,0.52485,1.25583,0.007261,0.007261,0.007261
85,25403.7,0.77477,0.53169,1.15139,0.85869,0.79804,0.84279,0.60393,0.90311,0.52637,1.25495,0.007228,0.007228,0.007228
86,25696.9,0.76983,0.53001,1.15032,0.87236,0.79686,0.84554,0.60433,0.90255,0.52441,1.25441,0.007195,0.007195,0.007195
87,26047.6,0.76742,0.52944,1.14942,0.87887,0.7966,0.84918,0.60559,0.89673,0.52444,1.25109,0.007162,0.007162,0.007162
88,26329.3,0.76916,0.52896,1.15081,0.88762,0.79123,0.84797,0.60471,0.89378,0.52185,1.24993,0.007129,0.007129,0.007129
89,26621.8,0.76775,0.52637,1.14875,0.87668,0.79091,0.85215,0.60761,0.89813,0.52368,1.25129,0.007096,0.007096,0.007096
90,26915.9,0.76512,0.52753,1.14853,0.85828,0.80259,0.8502,0.60871,0.89631,0.51941,1.25027,0.007063,0.007063,0.007063
91,27208.1,0.76751,0.5267,1.14974,0.87383,0.79346,0.85039,0.60935,0.89819,0.51681,1.25487,0.00703,0.00703,0.00703
92,27499.8,0.75923,0.52272,1.1477,0.87278,0.79225,0.84961,0.60805,0.89705,0.51912,1.25431,0.006997,0.006997,0.006997
93,27791.2,0.75957,0.52005,1.14019,0.886,0.78346,0.85018,0.60541,0.89742,0.5199,1.25186,0.006964,0.006964,0.006964
