epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,232.484,0.70895,0.46302,1.04553,0.90569,0.74649,0.82078,0.581,0.88671,0.52557,1.15683,0.000368509,0.000368509,0.000368509
2,484.255,0.74317,0.50172,1.06103,0.86725,0.75853,0.81017,0.56942,0.90131,0.53989,1.16573,0.000709584,0.000709584,0.000709584
3,693.844,0.76708,0.52489,1.07555,0.86661,0.73904,0.79675,0.55013,0.94665,0.5806,1.1969,0.00102133,0.00102133,0.00102133
4,921.5,0.79041,0.54878,1.0958,0.85685,0.73649,0.79349,0.55322,0.9381,0.57871,1.18684,0.000979013,0.000979013,0.000979013
5,1161.32,0.7873,0.54383,1.09392,0.84724,0.74154,0.80397,0.55845,0.92175,0.57424,1.17266,0.000935018,0.000935018,0.000935018
6,1420.31,0.78384,0.53715,1.08872,0.87623,0.74438,0.8053,0.56383,0.93492,0.57293,1.18751,0.000891022,0.000891022,0.000891022
7,1661.8,0.77755,0.53312,1.0891,0.82972,0.76398,0.80568,0.56368,0.9156,0.55564,1.16662,0.000847026,0.000847026,0.000847026
8,1901.36,0.76874,0.52433,1.08275,0.86031,0.75419,0.81049,0.5674,0.90819,0.55255,1.16936,0.000803031,0.000803031,0.000803031
9,2139.64,0.76894,0.52087,1.08123,0.82512,0.76715,0.80793,0.57196,0.90496,0.54177,1.15822,0.000759035,0.000759035,0.000759035
10,2379.05,0.75398,0.5145,1.07413,0.85235,0.74479,0.81136,0.56509,0.90663,0.55118,1.16267,0.00071504,0.00071504,0.00071504
11,2615.14,0.75084,0.50655,1.06883,0.85438,0.74289,0.81104,0.56614,0.90846,0.55114,1.16591,0.000671044,0.000671044,0.000671044
12,2857.41,0.74178,0.50019,1.06716,0.85845,0.74881,0.80981,0.57716,0.89567,0.54609,1.15814,0.000627048,0.000627048,0.000627048
13,3094.07,0.73688,0.49407,1.05787,0.87883,0.74799,0.81867,0.58201,0.90009,0.53746,1.16286,0.000583053,0.000583053,0.000583053
14,3332.63,0.72853,0.48507,1.05666,0.84926,0.76756,0.81294,0.58217,0.89129,0.53652,1.15203,0.000539057,0.000539057,0.000539057
15,3583.83,0.73671,0.49148,1.05631,0.88643,0.742,0.8186,0.58299,0.8884,0.53129,1.15512,0.000495062,0.000495062,0.000495062
