epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,12337.8,0.97278,0.73981,1.26893,0.7285,0.69037,0.70721,0.46964,1.0353,0.6852,1.30462,0.005842,0.005842,0.005842
44,12624.8,0.96627,0.73707,1.27099,0.72283,0.67381,0.69374,0.4666,1.02901,0.67848,1.294,0.005743,0.005743,0.005743
45,12912.3,0.96414,0.7296,1.27167,0.74517,0.66544,0.70742,0.47475,1.02675,0.67698,1.29698,0.005644,0.005644,0.005644
46,13199.9,0.97197,0.73365,1.27803,0.79295,0.69192,0.72351,0.48377,1.02848,0.67991,1.30275,0.005545,0.005545,0.005545
47,13489.1,0.95761,0.72993,1.26449,0.81107,0.69225,0.73221,0.49221,1.0301,0.67522,1.29909,0.005446,0.005446,0.005446
48,13775.2,0.95959,0.72237,1.26797,0.73542,0.67304,0.70785,0.48143,1.02541,0.67402,1.29817,0.005347,0.005347,0.005347
49,14062.3,0.94918,0.7101,1.26071,0.84097,0.6709,0.72815,0.49491,1.01964,0.67511,1.2904,0.005248,0.005248,0.005248
50,14348.5,0.95613,0.71827,1.26635,0.77239,0.69087,0.72186,0.48371,1.0259,0.66693,1.29277,0.005149,0.005149,0.005149
51,14635.2,0.95047,0.70781,1.25425,0.7662,0.68232,0.721,0.48715,1.01312,0.66086,1.28253,0.00505,0.00505,0.00505
52,14923,0.94176,0.69781,1.26018,0.77344,0.68578,0.72594,0.48949,1.02033,0.6633,1.28934,0.004951,0.004951,0.004951
53,15209.4,0.94316,0.70191,1.25415,0.75337,0.67918,0.71858,0.48416,1.01175,0.66277,1.27993,0.004852,0.004852,0.004852
54,15495.4,0.94604,0.70086,1.25718,0.76783,0.68906,0.72776,0.49834,1.01174,0.65099,1.2803,0.004753,0.004753,0.004753
55,15782.5,0.9364,0.69836,1.24825,0.73917,0.70745,0.73269,0.48557,1.01706,0.65676,1.2855,0.004654,0.004654,0.004654
56,16067.9,0.93301,0.69324,1.24585,0.78545,0.69137,0.72848,0.49113,1.01155,0.65,1.27977,0.004555,0.004555,0.004555
57,16354.5,0.92693,0.6818,1.24497,0.78679,0.68362,0.73443,0.49348,1.01337,0.64178,1.27795,0.004456,0.004456,0.004456
58,16641.3,0.93202,0.6845,1.25067,0.77144,0.68804,0.71327,0.48742,1.00751,0.64553,1.27543,0.004357,0.004357,0.004357
59,16929.4,0.92532,0.68486,1.24285,0.72707,0.69512,0.72606,0.48921,1.00439,0.64165,1.27218,0.004258,0.004258,0.004258
60,17222,0.92181,0.67801,1.2383,0.78728,0.68573,0.73258,0.49742,1.00576,0.64281,1.27255,0.004159,0.004159,0.004159
61,17508.1,0.91366,0.66995,1.23272,0.82156,0.69313,0.73662,0.50184,1.00501,0.63983,1.27262,0.00406,0.00406,0.00406
62,17794.2,0.91096,0.66778,1.22811,0.79026,0.70557,0.73794,0.49818,1.00395,0.63748,1.26874,0.003961,0.003961,0.003961
63,18081,0.91039,0.6617,1.22726,0.81548,0.68114,0.74388,0.50607,1.00076,0.63202,1.27036,0.003862,0.003862,0.003862
64,18366.5,0.91292,0.66074,1.22907,0.76726,0.71117,0.73952,0.50332,1.0036,0.63558,1.27345,0.003763,0.003763,0.003763
65,18653.8,0.91065,0.66321,1.22436,0.82219,0.69312,0.73968,0.50368,1.00064,0.63317,1.2697,0.003664,0.003664,0.003664
66,18941,0.90287,0.65633,1.22452,0.83642,0.68864,0.73647,0.50586,0.99859,0.63298,1.27352,0.003565,0.003565,0.003565
67,19226.2,0.90369,0.65815,1.2201,0.84208,0.66505,0.73206,0.50076,0.99528,0.62701,1.27058,0.003466,0.003466,0.003466
68,19513,0.90019,0.65033,1.21909,0.7592,0.7086,0.73154,0.49933,0.99389,0.62722,1.26877,0.003367,0.003367,0.003367
69,19799.6,0.90545,0.65318,1.22109,0.79799,0.70191,0.74042,0.50356,0.99388,0.62434,1.26832,0.003268,0.003268,0.003268
70,20085.6,0.89744,0.64716,1.21533,0.8261,0.69187,0.7408,0.5053,0.99396,0.62285,1.26839,0.003169,0.003169,0.003169
