epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,291.483,1.20537,1.96556,1.52723,0.66767,0.52221,0.5932,0.35181,1.26383,1.19153,1.60949,0.000369876,0.000369876,0.000369876
2,563.45,1.17791,1.29942,1.48828,0.72999,0.60789,0.65726,0.40068,1.20939,1.05486,1.54201,0.000710897,0.000710897,0.000710897
3,835.541,1.17583,1.1619,1.49433,0.67787,0.60338,0.65848,0.40791,1.20186,1.03781,1.53419,0.00102259,0.00102259,0.00102259
4,1105.93,1.154,1.08518,1.47342,0.73182,0.64759,0.6982,0.44192,1.15279,0.93048,1.4847,0.000979013,0.000979013,0.000979013
5,1393.31,1.12057,1.02032,1.44588,0.73999,0.66852,0.72956,0.46557,1.11259,0.89368,1.45571,0.000935018,0.000935018,0.000935018
6,1673.41,1.09268,0.97375,1.41885,0.75837,0.69357,0.72854,0.47049,1.09644,0.82137,1.43057,0.000891022,0.000891022,0.000891022
7,1957.73,1.06893,0.93518,1.40421,0.78998,0.69609,0.7516,0.47946,1.08224,0.79599,1.43008,0.000847026,0.000847026,0.000847026
8,2244.68,1.04228,0.88867,1.38386,0.788,0.70874,0.75532,0.49757,1.06212,0.77319,1.40784,0.000803031,0.000803031,0.000803031
9,2532.4,1.04301,0.88755,1.38081,0.77938,0.70112,0.76025,0.49905,1.05301,0.76437,1.3959,0.000759035,0.000759035,0.000759035
10,2819.02,1.01045,0.8395,1.35679,0.80458,0.70664,0.75798,0.49943,1.03411,0.73422,1.37902,0.00071504,0.00071504,0.00071504
11,3105.7,1.00055,0.82738,1.35204,0.81043,0.71719,0.77517,0.50859,1.02328,0.7282,1.36544,0.000671044,0.000671044,0.000671044
12,3393.87,0.99289,0.81275,1.34005,0.827,0.73187,0.78883,0.52685,1.00716,0.70273,1.35519,0.000627048,0.000627048,0.000627048
13,3681.04,0.97352,0.78973,1.32087,0.83462,0.7308,0.79481,0.53924,0.99779,0.69616,1.34374,0.000583053,0.000583053,0.000583053
14,3967.69,0.96135,0.77158,1.31404,0.84671,0.71201,0.78964,0.53447,0.99207,0.67048,1.33781,0.000539057,0.000539057,0.000539057
15,4254.57,0.95087,0.75948,1.30945,0.82737,0.73221,0.79172,0.53567,0.98103,0.67227,1.33557,0.000495062,0.000495062,0.000495062
16,4550.07,0.98343,0.69964,1.30571,0.84891,0.73026,0.80249,0.54463,0.97631,0.6621,1.32291,0.000451066,0.000451066,0.000451066
17,4825.55,0.96788,0.67046,1.29856,0.83923,0.7299,0.80172,0.54677,0.96514,0.64102,1.31227,0.00040707,0.00040707,0.00040707
18,5101.06,0.9504,0.64923,1.27617,0.84837,0.73108,0.8075,0.5548,0.95353,0.64289,1.30451,0.000363075,0.000363075,0.000363075
19,5376.64,0.93424,0.63321,1.26715,0.83503,0.72787,0.80564,0.55392,0.9573,0.63364,1.30987,0.000319079,0.000319079,0.000319079
20,5652.6,0.9212,0.61618,1.25797,0.84168,0.7376,0.8102,0.55676,0.96209,0.6293,1.30984,0.000275084,0.000275084,0.000275084
21,5928.57,0.90682,0.60398,1.24457,0.8271,0.75167,0.81318,0.56447,0.93613,0.61083,1.29094,0.000231088,0.000231088,0.000231088
22,6204.66,0.89609,0.58571,1.23127,0.84606,0.74472,0.81247,0.56639,0.93481,0.60273,1.28698,0.000187092,0.000187092,0.000187092
23,6480.67,0.88327,0.57464,1.22498,0.84551,0.75346,0.81952,0.57256,0.92291,0.59637,1.28076,0.000143097,0.000143097,0.000143097
24,6755.72,0.87608,0.56161,1.21719,0.86969,0.73465,0.82409,0.57732,0.92139,0.58531,1.2794,9.91012e-05,9.91012e-05,9.91012e-05
25,7031.51,0.86653,0.55224,1.20456,0.84415,0.76764,0.826,0.58152,0.91397,0.57415,1.26966,5.51056e-05,5.51056e-05,5.51056e-05
